Read times - Current graph;Current(A) - Current graph
0;0,01
1;0,009
2;0,01
3;0,01
4;0,01
5;0,01
6;0,01
7;0,01
8;0,01
9;0,023
10;0,028
11;0,028
12;0,028
13;0,027
14;0,027
15;0,028
16;0,028
17;0,027
18;0,027
19;0,028
20;0,027
21;0,027
22;0,028
23;0,027
24;0,03
25;0,029
26;0,029
27;0,029
28;0,029
29;0,029
30;0,029
31;0,029
32;0,029
33;0,029
34;0,029
35;0,029
36;0,029
37;0,029
38;0,029
39;0,029
40;0,029
41;0,029
42;0,028
43;0,028
44;0,032
45;0,029
46;0,029
47;0,029
48;0,029
49;0,028
50;0,027
51;0,027
52;0,027
53;0,027
54;0,027
55;0,028
56;0,028
57;0,029
58;0,029
59;0,029
60;0,029
61;0,064
62;0,09
63;0,069
64;0,039
65;0,029
66;0,062
67;0,034
68;0,038
69;0,033
70;0,074
71;0,053
72;0,033
73;0,041
74;0,029
75;0,053
76;0,034
77;0,05
78;0,01
79;0,01
80;0,01
81;0,01
82;0,01
83;0,01
84;0,01
85;0,01